default,default response
"""Thank you for talking to me. I have — a lot to think about.""","His face softened as he tapped the mixtape still in my hands. ""And music to listen to. Everything will work out just fine."""
"""And you have to return all in one piece,"" I added. ","""I shall return all in one piece,"" he echoed."
"""I shall return all in one piece,"" he echoed.","I launched myself forward and hugged Remus tightly. ""You better."""
"""She's okay?"" he asked.","I nodded. ""She said she is."""
"I nodded. I knew that he knew. ""She said she was alright. It's just...""","""Not the same as seeing for yourself?"""
"""Lucy,"" I said, without thinking about it, without any hesitation. ","Mr. Weasley nodded. ""Lucy is, unfortunately, quite a good example. It's not unfortunate that she is a good example, I mean, it's just unfortunate that she's had to become an example at all — """
"""Love, or Lucy?"" he asked.","I smiled wider. ""Both, I think."""
"I smiled wider. ""Both, I think.""","Mr. Weasley returned my smile. ""You know, I'd have to agree."" "
"""Sure, I'll kiss you,"" I whispered back with a teasing grin, leaning forward to do exactly that.","Lucy jumped away, face flaming bright red. ""No, no, not yet, the twins are still coming with my trunk!"" she hissed."
"""You're always funny, whether you're trying to be or not, Potter,"" she teased, smiling. ","""You seem more awake than usual this morning,"" I commented."
"""You seem more awake than usual this morning,"" I commented.","""Professor McGonagall stopped by this morning with wideye potion, while I was in the shower."""
"""Professor McGonagall stopped by this morning with wideye potion, while I was in the shower.""","""Really?"""
"Lucy nodded. ""One for me, one for George, one for Fred. The twins said she didn't stick around to see me because was going to visit Remus and Tonks next, she had one for each of them too."" She fell silent then, a shadow flickering across her eyes.","""What's wrong?"" I asked."
"""Shut up!"" Lucy squeaked, jumping on top of her trunk so she could firmly clasp her hand over Fred's mouth. ","I raised my eyebrows. ""Oh, really? This conversation is so not over, Lu, I will be investigating this claim later. Unfortunately, I am not Miss Lucy Everlin 'Cub' Diggory, but I do believe there is something of mine in that trunk. I loaned her one of my jumpers a few months back, and I haven't been able to find it since."""
"I raised my eyebrows. ""Oh, really? This conversation is so not over, Lu, I will be investigating this claim later. Unfortunately, I am not Miss Lucy Everlin 'Cub' Diggory, but I do believe there is something of mine in that trunk. I loaned her one of my jumpers a few months back, and I haven't been able to find it since.""","It was George's turn to raise his eyebrows, being the twin not being forcibly shut up by Lucy. ""Oh, really?"""
"""Your wish is our command!"" Fred chirped. ","George reached down and grabbed a handle of the trunk. ""Would you like your trunk to be your chariot, my lady?"""
"George extracted himself from Lucy's grip with a sniffle and a nod. ""You two take care of each other, you hear?""","Lucy made a strangled sound and launched herself at me with so much force I nearly toppled over trying to catch her. I rubbed her back as I returned the hug in an attempt to comfort her, smiling and nodding at the twins. ""Of course."""
"Lucy made a strangled sound and launched herself at me with so much force I nearly toppled over trying to catch her. I rubbed her back as I returned the hug in an attempt to comfort her, smiling and nodding at the twins. ""Of course.""","Fred cleared his throat. ""We, er, added a couple of things to your trunk, Cub, just in case something comes up and you need a little mischievous assistance. Hopefully this year is free of any Pink Venomous Tentaculas, but, well, there's always something going on at Hogwarts, right? We're always just a letter away and we're always more than happy to break rules, if you really need our help, though, you know that."""
"""What?"" I asked, feigning confusion.","Lucy turned to glare at George too. ""Clean yours."""
"Lucy turned to glare at George too. ""Clean yours.""","""What?"" George asked, his confusion genuine."
"Fred only laughed. ""Have a good year at school, ickle firsties. Don't do anything we wouldn't do.""","""That is hardly an acceptable parameter for how to behave,"" Lucy muttered, voice muffled. "
"""That is hardly an acceptable parameter for how to behave,"" Lucy muttered, voice muffled. ","""Do your best to abide by it anyway,"" George said. "
"Lucy flushed bright red. ""I knew leaving her on top of the trunk was a mistake.""","""Aw, it's a her?"" "
"""Aw, it's a her?"" ","""Shut up, Potter."""
"""So, your stuffed bear is a female?"" I asked loudly.","""Lucy's back!"" Ginny cheered, bursting into the room and immediately taking a seat on Lucy's other side so she could throw her arms around her. "
"""Thanks, Harry,"" she mumbled sleepily, taking the coffee out of my hands and lifting it to her lips. Her eyes widened in horror, and she swallowed with a great deal of effort.","""Sorry, is it too hot?"" I asked with a grimace."
"""Sorry, is it too hot?"" I asked with a grimace.","""No, it's alright. It's perfect, thank you."""
"""No, it's alright. It's perfect, thank you.""","""Lucy, I know you're lying."""
"""Lucy, I know you're lying.""","Lucy looked me dead in the eyes and gulped down three more sips, with even more effort than before. ""Nope. It's perfect. You're the best. Thank you. This will help."""
"""Mr. Weasley, can we have a quick word?"" I asked, because it had been my idea in the first place.","""Of course,"" he said without hesitation."
"""Of course,"" he said without hesitation.","Once we were out of earshot of the others, I started to try to explain. ""When we were in Diagon Alley — """
"Once we were out of earshot of the others, I started to try to explain. ""When we were in Diagon Alley — ""","""Am I about to discover where you, Ron, and Hermione disappeared to while you were supposed to be in the back room of Fred and George's shop?"" he interrupted."
"I blinked. ""How did you — ""","""Harry, please. You're talking to the man who raised Fred and George."""
"""Er... yeah, alright, we weren't in the back room.""","Mr. Weasley clicked his tongue, but made no other outward signs of disapproval. ""Very well, then, let's hear the worst."""
"Mr. Weasley clicked his tongue, but made no other outward signs of disapproval. ""Very well, then, let's hear the worst.""","""Well, we followed Draco Malfoy. We used my invisibility cloak."""
"""Well, we followed Draco Malfoy. We used my invisibility cloak.""","""Did you have any particular reason for doing so, or was it a mere whim?"""
"""Did you have any particular reason for doing so, or was it a mere whim?""","""Because I thought Malfoy was up to something. He'd given his mother the slip and I wanted to know why."""
"""Because I thought Malfoy was up to something. He'd given his mother the slip and I wanted to know why.""","""Of course you did. Well? Did you find out why?"""
"""Of course you did. Well? Did you find out why?""","""He went into Borgin and Burke's and started bullying the bloke in there, Borgin, to help him fix something. And he said he wanted Borgin to keep something else for him. He made it sound like it was the same kind of thing that needed fixing. Like they were a pair. And... well, there's something else. We saw Malfoy jump about a mile when Madam Malkin tried to touch his left arm. I think he's been branded with the Dark Mark. I think he's replaced his father as a Death Eater."""
"""He went into Borgin and Burke's and started bullying the bloke in there, Borgin, to help him fix something. And he said he wanted Borgin to keep something else for him. He made it sound like it was the same kind of thing that needed fixing. Like they were a pair. And... well, there's something else. We saw Malfoy jump about a mile when Madam Malkin tried to touch his left arm. I think he's been branded with the Dark Mark. I think he's replaced his father as a Death Eater.""","Mr. Weasley blinked. ""Harry, I doubt whether You-Know-Who would allow a sixteen-year-old — """
"""I understand,"" Mr. Weasley said slowly, looking back and forth between the two of us.","""And about Borgin and Burke's, if Malfoy wants something fixing, and he needs to threaten Borgin to get it done, it's probably something Dark or dangerous, isn't it?"" I asked."
"""And about Borgin and Burke's, if Malfoy wants something fixing, and he needs to threaten Borgin to get it done, it's probably something Dark or dangerous, isn't it?"" I asked.","""I doubt it, to be honest, Harry. You see, when Lucius Malfoy was arrested, we raided his house. We took away everything that might have been dangerous."""
"""I know. Let's just hope he didn't bring whatever it is to school, alright? We did what we could.""","I nodded sullenly. ""Right. C'mon, let's find a compartment so you can sleep."""
"I nodded sullenly. ""Right. C'mon, let's find a compartment so you can sleep.""","""Yes please,"" Lucy whispered."
"""Fancy trying to find a compartment?"" I asked Ginny once we reached her.","Ginny shook her head. ""Sorry, co-captains, but I said I'd meet Dean. See you later, though!""  "
"Ginny shook her head. ""Sorry, co-captains, but I said I'd meet Dean. See you later, though!""  ","""It's alright, you can come with us!"" a voice piped up behind us."
"""Are we still doing D.A. meetings this year?"" Luna asked, jerking me from my thoughts.","""No point since we've gotten rid of Umbridge, is there?"" I replied."
"""No point since we've gotten rid of Umbridge, is there?"" I replied.","Neville frowned as he sat down next to Luna and Lucy sat down next to me. ""I liked the D.A.! I learned loads with you two!"""
"Neville frowned as he sat down next to Luna and Lucy sat down next to me. ""I liked the D.A.! I learned loads with you two!""","""I enjoyed the meetings as well. It was like having friends,"" Luna commented."
"""I enjoyed the meetings as well. It was like having friends,"" Luna commented.","""We are your friends, Luna,"" Lucy said with a smile, earning a smile from Luna in return. Her smile gave way to a yawn, though, so I playfully shoved Lucy's shoulder."
"""Should we put up a silencing spell?"" Neville whispered.","""It's alright,"" Lucy said, but I poked her shin."
"""It's alright,"" Lucy said, but I poked her shin.","""We will. Sleep, Lu."""
"""We will. Sleep, Lu.""","""Wake me if there's trouble?"" she mumbled, clearly only seconds away from falling asleep."
"""Wake me if there's trouble?"" she mumbled, clearly only seconds away from falling asleep.","""Alright."""
"I clenched my jaw and met her gaze. ""They're friends of mine.""","She blinked, looking quite stunned. ""Oh. Oh. Okay."""
"""People expect you to have cooler friends than us,"" Luna remarked.","""You are cool. None of them were at the Ministry. They didn't fight with me."""
"""You are cool. None of them were at the Ministry. They didn't fight with me.""","Luna beamed. ""That's a very nice thing to say."""
"I shook my head. ""She shouldn't feel that way. You're more than good enough, Neville.""","He sighed. ""I'm afraid I'm not."" "
"I blinked. ""Sorry, I — ""","""Wrackspurt got you?"" Luna inquired."
"""Wrackspurt got you?"" Luna inquired.","""I — what?"""
"""It's alright, I... don't think it's that,"" I said.","Neville glanced down at Lucy, whispering, ""Is she alright? The moon was a few days ago, wasn't it?"""
"""There's a silencing spell up, right?"" Hermione whispered, looking at Lucy.","""Yeah, don't worry, she's sound asleep,"" I replied."
"""Yeah, don't worry, she's sound asleep,"" I replied.","Ron sat down beside me heavily. ""Good. I wish the lunch trolley would hurry up, I'm starving. Hi, Neville. Hi, Luna. Guess what, Harry? Malfoy's not doing prefect duty. He's just sitting in his compartment with the other Slytherins, we saw him when we passed."""
"Ron sat down beside me heavily. ""Good. I wish the lunch trolley would hurry up, I'm starving. Hi, Neville. Hi, Luna. Guess what, Harry? Malfoy's not doing prefect duty. He's just sitting in his compartment with the other Slytherins, we saw him when we passed.""","""What did he do when he saw you?"" I asked, curiosity piqued. Malfoy never passed up on an opportunity to abuse his prefect power."
"Maybe because he has more important things to do. Death Eater things. ""I don't know,"" I said aloud.","Hermione shrugged as she sat down next to Neville. ""Maybe he preferred the Inquisitorial Squad. Maybe being a prefect seems a bit tame after that."""
"""I'm supposed to deliver these to Neville Longbottom and Harry Potter,"" she stammered, handing one to each of us before practically running out of the compartment.","""What is it?"" Ron asked."
"Neville grimaced. ""But what does he want me for?""","""No idea. Hey, let's go under the invisibility cloak, then we might get a good look at Malfoy on the way, see what he's up to."""
"Slughorn gestured around the table. ""Now, do you know everyone? Blaise Zabini is in your year, of course, and this is Cormac McLaggen, perhaps you've come across each other. And this is Marcus Belby, and this charming young lady tells me she knows you!""","Ginny Weasley cringed subtly. ""Hi, Harry. Hi, Neville."""
"Startled, Marcus began to choke on the bite he had just taken, but Slughorn cleared the blockage with a calm ""Anapneo."" I couldn't help but wonder if that was a common occurrence at his spontaneous lunch meetings. ","""Not... not much of him, no,"" poor Marcus Belby managed."
"""Not... not much of him, no,"" poor Marcus Belby managed.","""Well, of course, I daresay he's busy. I doubt he invented the Wolfsbane Potion without considerable hard work!"""
"Marcus nodded. ""I suppose. Er — he and my dad don't get on very well, you see, so I don't really know much about...""","Slughorn turned to Cormac McLaggen. ""Now, you, Cormac, I happen to know you see a lot of your Uncle Tiberius, because he has a rather splendid picture of the two of you hunting nogtails in, I think, Norfolk?"""
"""So modest, so modest, no wonder Dumbledore is so fond — you were there, then? But the rest of the stories — so sensational, of course, one doesn't know quite what to believe — this fabled prophecy, for instance!""","""We never heard a prophecy,"" Neville said, flushing as he said so."
"""We never heard a prophecy,"" Neville said, flushing as he said so.","Ginny nodded. ""That's right. Neville and I were both there too, and all this 'Chosen One' rubbish is just the Prophet making things up as usual."""
"Ginny nodded. ""That's right. Neville and I were both there too, and all this 'Chosen One' rubbish is just the Prophet making things up as usual.""","""You were both there too, were you? Fascinating! Yes, well, it is true that the Prophet often exaggerates, of course. I remember dear Gwenog telling me — Gwenog Jones, I mean, of course, Captain of the Holyhead Harpies..."""
"Neville sighed. ""I'm glad that's over. Strange man, isn't he?""","""Yeah, he is, a bit. How come you ended up in there, Ginny?"" I asked."
"""Yeah, he is, a bit. How come you ended up in there, Ginny?"" I asked.","""He saw me hex Zacharias Smith. You remember that idiot from Hufflepuff who was in the D.A.? He kept asking about what happened at the Ministry and in the end he annoyed me so much I hexed him — when Slughorn came in I thought I was going to get detention, but he just thought it was a really good hex and invited me to lunch! Mad, eh?"""
"""But what are you doing?"" Neville asked.","""Later,"" I hissed, taking off after Zabini and trying to slip into the compartment. It didn't quite work, though, so I shoved my foot into the doorway to keep it open."
"""Later,"" I hissed, taking off after Zabini and trying to slip into the compartment. It didn't quite work, though, so I shoved my foot into the doorway to keep it open.","Zabini slammed it against my foot several times, trying to close it. ""What's wrong with this thing?"""
"Malfoy. ""So, Zabini, what did Slughorn want?""","Zabini. ""Just trying to make up to well-connected people. Not that he managed to find many."""
"Zabini. ""Just trying to make up to well-connected people. Not that he managed to find many.""","Malfoy. ""Who else had he invited?"""
"Malfoy. ""Who else had he invited?""","Zabini. ""McLaggen from Gryffindor."""
"Zabini. ""McLaggen from Gryffindor.""","Malfoy. ""Oh yeah, his uncle's big in the Ministry."""
"Malfoy. ""Oh yeah, his uncle's big in the Ministry.""","Zabini. ""Someone else called Belby, from Ravenclaw."""
"Zabini. ""Someone else called Belby, from Ravenclaw.""","Parkinson. ""Not him, he's a prat!"""
"Parkinson. ""Not him, he's a prat!""","Zabini. ""And Longbottom, Potter, and that Weasley girl."""
"Zabini. ""And Longbottom, Potter, and that Weasley girl.""","Malfoy. ""Slughorn invited Longbottom?"""
"Malfoy. ""Slughorn invited Longbottom?""","Zabini. ""Well, I assume so, since Longbottom was there."""
"Zabini. ""Well, I assume so, since Longbottom was there.""","Malfoy. ""What's Longbottom got to interest Slughorn?"""
"Malfoy. ""What's Longbottom got to interest Slughorn?""","Zabini. ""I don't know."""
"Zabini. ""I don't know.""","Malfoy. ""Potter, precious Potter, obviously he wanted a look at 'the Chosen One,' but that Weasley girl! What's so special about her?"""
"Malfoy. ""Potter, precious Potter, obviously he wanted a look at 'the Chosen One,' but that Weasley girl! What's so special about her?""","Parkinson. ""A lot of boys like her. Even you think she's good-looking, don't you, Blaise? And we all know how hard you are to please!"""
"Parkinson. ""A lot of boys like her. Even you think she's good-looking, don't you, Blaise? And we all know how hard you are to please!""","Zabini. ""I wouldn't touch a filthy little blood traitor like her whatever she looked like."""
"Zabini. ""I wouldn't touch a filthy little blood traitor like her whatever she looked like.""","Malfoy. ""Well, I pity Slughorn's taste. Maybe he's going a bit senile. Shame, my father always said he was a good wizard in his day. My father used to be a bit of a favorite of his. Slughorn probably hasn't heard I'm on the train, or — """
"Malfoy. ""Well, I pity Slughorn's taste. Maybe he's going a bit senile. Shame, my father always said he was a good wizard in his day. My father used to be a bit of a favorite of his. Slughorn probably hasn't heard I'm on the train, or — ""","Zabini. ""I wouldn't bank on an invitation. He asked me about Nott's father when I first arrived. They used to be old friends, apparently, but when he heard he'd been caught at the Ministry he didn't look happy, and Nott didn't get an invitation, did he? I don't think Slughorn's interested in Death Eaters."""
"Zabini. ""I wouldn't bank on an invitation. He asked me about Nott's father when I first arrived. They used to be old friends, apparently, but when he heard he'd been caught at the Ministry he didn't look happy, and Nott didn't get an invitation, did he? I don't think Slughorn's interested in Death Eaters.""","Malfoy. ""Well, who cares what he's interested in? What is he, when you come down to it? Just some stupid teacher. I mean, I might not even be at Hogwarts next year, what's it matter to me if some fat old has-been likes me or not?"""
"Malfoy. ""Well, who cares what he's interested in? What is he, when you come down to it? Just some stupid teacher. I mean, I might not even be at Hogwarts next year, what's it matter to me if some fat old has-been likes me or not?""","Parkinson. ""What do you mean, you might not be at Hogwarts next year?"""
"Parkinson. ""What do you mean, you might not be at Hogwarts next year?""","Malfoy. ""Well, you never know. I might have — er — moved on to bigger and better things."""
"Parkinson. ""Do you mean... him?""","Malfoy. ""Mother wants me to complete my education, but personally, I don't see it as that important these days. I mean, think about it. When the Dark Lord takes over, is he going to care how many O.W.L.s or N.E.W.T.s anyone's got? Of course he isn't. It'll be all about the kind of service he received, the level of devotion he was shown."""
"Malfoy. ""Mother wants me to complete my education, but personally, I don't see it as that important these days. I mean, think about it. When the Dark Lord takes over, is he going to care how many O.W.L.s or N.E.W.T.s anyone's got? Of course he isn't. It'll be all about the kind of service he received, the level of devotion he was shown.""","Zabini. ""And you think you'll be able to do something for him? Sixteen years old and not even fully qualified yet?"""
"Zabini. ""And you think you'll be able to do something for him? Sixteen years old and not even fully qualified yet?""","Malfoy. ""I've just said, haven't I? Maybe he doesn't care if I'm qualified. Maybe the job he wants me to do isn't something that you need to be qualified for. Anyway, I can see Hogwarts. We'd better get our robes on."""
"""Knock your head on Wednesday, Scars? The exit is behind you. That way."" ","""I'm not stupid, Draco, I can see that only one compartment has the blinds down and I intend to find out why. Now get out of my way before I knock your head against the wall."""
"""I'm not stupid, Draco, I can see that only one compartment has the blinds down and I intend to find out why. Now get out of my way before I knock your head against the wall.""","""Why do you want to go down that way so bad? Off to do something naughty with your 'Chosen One' boyfriend?"""
"""Why do you want to go down that way so bad? Off to do something naughty with your 'Chosen One' boyfriend?""","""Harry, my boyfriend? Please. I went to the Yule Ball with George Weasley, remember? Get. Out. Of. My. Way."""
"""Harry, my boyfriend? Please. I went to the Yule Ball with George Weasley, remember? Get. Out. Of. My. Way.""","""Make me."""
"""Make me.""","""Fine."""
"""This year's off to a bloody brilliant start,"" Lucy remarked sarcastically as I hauled her to her feet.","""Emphasis on the bloody."""
"""Emphasis on the bloody.""","Ginny appeared rather suddenly and grabbed us by the wrists. ""Come on, come on, hurry up! Honestly, you two, you just about scared us to death, launching yourselves off the train like a couple of morons — """
"""What do you mean?"" Ron asked.","""That job's jinxed. No ones lasted more than a year. Quirrell actually died doing it. Personally, I'm going to keep my fingers crossed for another death."""
"""That job's jinxed. No ones lasted more than a year. Quirrell actually died doing it. Personally, I'm going to keep my fingers crossed for another death.""","""Harry!"" Hermione scolded."
"""Oh, the twins are going to lose it when they hear that Snape is DADA professor. I'm so glad they supplied me as well as they did. Here I was thinking I wouldn't have a good target — oh, I know the DADA office well, better than the dungeons, Snape isn't going to know what hit him.""","I couldn't help but smile at Lucy, which earned me a disgruntled look in response. ""Don't look at me like that. I'm still angry with you for what happened on the train."""
"I couldn't help but smile at Lucy, which earned me a disgruntled look in response. ""Don't look at me like that. I'm still angry with you for what happened on the train.""","I blinked. ""What? Why?"""
"I blinked. ""What? Why?""","""You did something stupid without me."""
"""You did something stupid without me.""","""You were asleep, and I needed to slip in right behind Zabini — """
"""I was with Grawp! Los' track o' the time. Everything's alrigh', don' fret! He's got a new home up in the mountains now, Dumbledore fixed it — nice big cave. He's much happier than he was in the forest. We were havin' a good chat.""","""That's great! Teaching him English has gone well?"" Lucy asked."
"""That's great! Teaching him English has gone well?"" Lucy asked.","""Yeh'll be amazed. I'm thinkin' o' trainin' him up as me assistant. Anyway, I'll see yeh tomorrow, firs' lesson's straight after lunch. Come early an' yeh can say hello ter Buck — I mean, Witherwings!"""
"""Are Ron and Hermione?""","I shook my head again. ""I — don't think so."""
"""What was the idea?"" Parvati asked, eyes wide as she and Lavender exchanged a brief, almost conspiratorial, glance.","I felt my face heat. ""It wasn't incredible, but — """
"""Well, yes, of course, all of my friends are special to me,"" I protested, face growing ever hotter. ","""But he's the specialest,"" Parvati inserted."
"""But he's the specialest,"" Parvati inserted.","Hermione smirked as she fixed me with a look. ""I'll forgive the fact that that isn't even a word, because it's true. Harry's your specialest friend."""
"Hermione smirked as she fixed me with a look. ""I'll forgive the fact that that isn't even a word, because it's true. Harry's your specialest friend.""","""I'm leaving now,"" I muttered, trying to get to my feet. "
"""What's wrong?"" I asked. ","""Nothing, it's just — I was wondering if..."""
"She blinked, her face resetting, a small humorless laugh escaping her. ""Merlin, I — forgot how easily you see through people.""","""It's easiest to see through the people I care about,"" I replied."
"""It's easiest to see through the people I care about,"" I replied.","""You care about everyone,"" she whispered, looking down at her hands as she worried at a loose piece of skin on her thumb. "
"""You care about everyone,"" she whispered, looking down at her hands as she worried at a loose piece of skin on her thumb. ","I laid a hand on top of hers to stop her before she drew blood. She looked up at me, and I looked right back. ""It's easiest to see through the people I care most about. Like you. Come on, Mione, I'm listening. What is it?"""
"I laid a hand on top of hers to stop her before she drew blood. She looked up at me, and I looked right back. ""It's easiest to see through the people I care most about. Like you. Come on, Mione, I'm listening. What is it?""","The dam broke, and her expression crumpled as she bowed her head low, resting her forehead against my hand on top of hers. ""I'm scared, Lucy,"" she choked out. Her shoulders began to shake as she cried. "
"The dam broke, and her expression crumpled as she bowed her head low, resting her forehead against my hand on top of hers. ""I'm scared, Lucy,"" she choked out. Her shoulders began to shake as she cried. ","I rested my free hand on one of her shoulders and rubbed it soothingly. ""It's okay, it's okay, you're safe."""
"""I don't want to hurt you,"" I whispered.","Hermione's gaze sharpened. ""I'd rather be hurt by you than by another Death Eater."" "
"Hermione's gaze sharpened. ""I'd rather be hurt by you than by another Death Eater."" ","""I don't want to hurt you, Mione,"" I said again, around the growing lump in my throat."
"""I don't want to hurt you, Mione,"" I said again, around the growing lump in my throat.","""Lucy, I'm asking you, my friend, the best friend I've ever had, to hurt me a little so I don't get hurt more by someone who wants to kill me. If you hurt me, that's because I wasn't good enough that time. I'll be better the next time. I won't let you hurt me the same way twice. It's that simple."""
"""Lucy, I'm asking you, my friend, the best friend I've ever had, to hurt me a little so I don't get hurt more by someone who wants to kill me. If you hurt me, that's because I wasn't good enough that time. I'll be better the next time. I won't let you hurt me the same way twice. It's that simple.""","I swallowed hard. ""Nothing about this is simple. You don't understand."""
"I swallowed hard. ""Nothing about this is simple. You don't understand.""","""I'm trying to."""
"""I'm trying to.""","""I know, but — look, there's something I need to tell you all about, but I'd rather not do it more than once. We need to talk tonight, if we can, when we're all together."""
"I snorted my agreement. After a long second, I nodded. ""Okay, Hermione. We can duel. You might change your mind once we talk tonight, but... if you still want to duel, we can duel. We — I — almost lost you once, and I can't go through that again.""","Hermione threw her arms around me, trembling. ""Thank you."""
"Hermione threw her arms around me, trembling. ""Thank you.""","I held her back. ""I'll always try to protect you, Hermione. No matter what."""
"""Good morning!"" I said brightly.","Harry shook his head, laughing. ""You scared me. Good morning, Lu."""
"He smiled sweetly. ""For you. Maybe you'll like it this time.""","""What is it?"" Ginny asked."
"I smiled. ""It's perfect, thank you.""","Harry, however, groaned. ""No it's not, I can tell. Is it still too hot? Or too cold, maybe? Did I add too much cream?"""
"I set the empty mug down and cleared my throat. ""So, Harry, we have been keeping a secret from you.""","My diversion worked beautifully. He blinked and looked around at us. ""What?"""
"His eyes flickered for a moment, but he nodded. ""Er — alright. You do know that my birthday was a month ago, though, right? And we've already celebrated it?""","""You're joking,"" I said flatly. "
"""Oi, it wasn't that funny,"" I said as I arched an eyebrow at Harry. ","He stopped laughing after a few more seconds, but his eyes were still undeniably glowing with amusement as he looked at me. ""Oh, but it was."" "
"""Oh, I forgot about those. Yes, that too.""","""Vials?"" Ginny asked."
"""Vials?"" Ginny asked.","I shrugged. ""Henry gave each of us a memory vial before he graduated and told us to check them out once we got back to school. Oh, and that reminds me, Henry asked me to keep an eye on his sister, since he can't. You all know who she is, right? She looks just like him, only her hair is longer and her smile is wider."""
"I shrugged. ""Henry gave each of us a memory vial before he graduated and told us to check them out once we got back to school. Oh, and that reminds me, Henry asked me to keep an eye on his sister, since he can't. You all know who she is, right? She looks just like him, only her hair is longer and her smile is wider.""","Neville, who had just entered the Great Hall in a rush, started talking as soon as he landed next to me. ""Gretchen Furls, yes, I already told Henry I would keep an eye on her too. One time, I found her alone in the common room dancing around with her cat. The cat's name is Nibbles. Gretch is really sweet. She loves Potions. She told me Snape is actually nice to her, believe it or not."""
"Neville, who had just entered the Great Hall in a rush, started talking as soon as he landed next to me. ""Gretchen Furls, yes, I already told Henry I would keep an eye on her too. One time, I found her alone in the common room dancing around with her cat. The cat's name is Nibbles. Gretch is really sweet. She loves Potions. She told me Snape is actually nice to her, believe it or not.""","""You're joking,"" Harry said, and the two of us started laughing all over again."
"""I must say, I was pleased with your Transfiguration mark, Potter, very pleased, but why haven't you applied to continue with Potions? I thought it was your ambition to become an Auror?""","Harry cringed. ""It was, but you told me I had to get an 'Outstanding' in my O.W.L., Professor."""
"I smiled. ""I make no promises, Professor.""","""Oh, by the way, you two, twenty hopefuls have already put down their names for the Gryffindor Quidditch team. I shall pass the list to you in due course and you can fix up trials at your leisure."""
"""Please take great care to find the most talented students in that large pool — Professor Snape is still Head of Slytherin despite his new subject this year, and I would love nothing more than another Gryffindor Quidditch Cup.""","""We'll do our best, Professor,"" I said, biting back a laugh."
"""It's what my grandmother wants,"" he replied in a low mumble.","""It's high time your grandmother learned to be proud of the grandson she's got, rather than the one she thinks she ought to have — particularly after what happened at the Ministry. I'm sorry, Longbottom, but I cannot let you into my N.E.W.T. class. I see that you have an 'Exceeds Expectations' in Charms however — why not try for a N.E.W.T. in Charms?"""
"""It's high time your grandmother learned to be proud of the grandson she's got, rather than the one she thinks she ought to have — particularly after what happened at the Ministry. I'm sorry, Longbottom, but I cannot let you into my N.E.W.T. class. I see that you have an 'Exceeds Expectations' in Charms however — why not try for a N.E.W.T. in Charms?""","Neville wilted further. ""My grandmother thinks Charms is a soft option."""
"Neville wilted further. ""My grandmother thinks Charms is a soft option.""","""Take Charms. I shall drop Augusta a line reminding her that just because she failed her Charms O.W.L., the subject is not necessarily worthless."" With that, Professor McGonagall tapped his schedule, and Transfiguration was replaced with Charms."
"""Take Charms. I shall drop Augusta a line reminding her that just because she failed her Charms O.W.L., the subject is not necessarily worthless."" With that, Professor McGonagall tapped his schedule, and Transfiguration was replaced with Charms.","""She... what?"" Neville asked, blinking at Professor McGonagall."
"He smiled. ""You're right. Thanks, Lucy.""","I looked over at Ginny's schedule and winced. ""History of Magic first, huh?"""
"His face softened. ""I know, but we need to practice.""","I shook my head. ""I won't."""
"He narrowed his eyes at me, knowing exactly what I had done. I shook my head, and he sighed quietly. ""Alright, you don't have to.""","""Thank you,"" I whispered."
"""Thank you,"" I whispered.","""Of course. Have a good day."""
"Snape stood up straight and glowered at Harry. ""Do you remember me telling you we are practicing nonverbal spells, Potter?""","""Yes,"" Harry replied emotionlessly."
"""Yes,"" Harry replied emotionlessly.","""Yes, sir."""
"""Yes, sir.""","""There's no need to call me 'sir,' Professor."""
"I knew that he was mentioned Cedric to try to upset me into sobering up, but I wasn't the same girl I had been a year prior. I only laughed harder. ""I know what you're trying to do, but, as you can see, it's not working. I'll have you know that you, sir, are the only professor I ever heard Cedric speak ill of. Maybe he wouldn't have been stupid enough to laugh to your face, the way I have, but I know he would laugh behind your back, the same way everyone else in this school will once word spreads of this.""","""You just earned yourself a detention on Sunday night as well, Diggory,"" he said stiffly, turning on his heel and marching away."
"""You were both brilliant!"" Ron exclaimed.","Hermione shook her head and sighed. ""You shouldn't have said that, Harry. Why did you?"""
"""Well, I thought he sounded a bit like you two did in D.A. meetings,"" Hermione mused.","""Like us?"" Harry and I asked in unison, horrified."
"""Like us?"" Harry and I asked in unison, horrified.","""Yes, when you were telling us what it's like to face something evil in real life. You said it wasn't just memorizing a bunch of spells, you said it was just you and your brains and your guts — well, wasn’t that what Snape was saying? That it really comes down to being brave and quick thinking?"""
"""This is for you two. Listen, I heard you're the new captains. When're you holding trials?""","""We aren't sure quite yet,"" Harry said. "
"I kept the smile on my face even as a bit of guilt crept in. ""I think I'm going to stay as a Beater, but I might switch positions depending on where I'm needed more. Good luck preparing for trials!""","""Thanks!"" he said with a bright grin as he turned to jog back down the corridor."
"Harry blinked. ""That's interesting. I don't smell that at all.""","""Yeah, I smell lavender, and leather, and ink, and it smells a bit like home,"" Ron said."
"""Yeah, I smell lavender, and leather, and ink, and it smells a bit like home,"" Ron said.","Harry blinked again. ""I smell freshly-baked cookies, and something like citrus, and lavender, like you, Ron, and something metallic too, like you do, Cam."""
"Harry blinked again. ""I smell freshly-baked cookies, and something like citrus, and lavender, like you, Ron, and something metallic too, like you do, Cam.""","""Oh, Merlin, it's amortentia,"" I said, eyes widening. I shot a glance over the table at Hermione, who had clearly reached the same conclusion I had. "
